transaction_date,ticker,executive,executive_title,security_type,acquisition_or_disposal,shares,share_price
2024-07-18,PLTR,"GLAZER, DAVID A.",See Remarks,Employee Stock Option (Right to buy),D,52656.0,0.0
2024-07-18,PLTR,"GLAZER, DAVID A.",See Remarks,Employee Stock Option (Right to buy),D,37344.0,0.0
2024-07-18,PLTR,"PALANTIR, TECHNOLOGIES INC.",10% Owner,Class A Common Stock,D,19164.0,0.0955
2024-07-17,PLTR,"PALANTIR, TECHNOLOGIES INC.",10% Owner,Class A Common Stock,D,3090.0,0.0935
2024-07-16,PLTR,"PALANTIR, TECHNOLOGIES INC.",10% Owner,Class A Common Stock,D,38672.0,0.0959
2024-07-15,PLTR,"PALANTIR, TECHNOLOGIES INC.",10% Owner,Class A Common Stock,D,50000.0,0.1009
2024-07-15,PLTR,"STAT, LAUREN ELAINA FRIEDMAN",Director,Class A Common Stock,D,5500.0,28.87
2024-07-15,PLTR,"STAT, LAUREN ELAINA FRIEDMAN",Director,Class A Common Stock,D,2000.0,28.97
2024-07-12,PLTR,"PALANTIR, TECHNOLOGIES INC.",10% Owner,Class A Common Stock,D,38400.0,0.1021
2024-07-11,PLTR,"PALANTIR, TECHNOLOGIES INC.",10% Owner,Class A Common Stock,D,30000.0,0.1098
2024-07-10,PLTR,"PALANTIR, TECHNOLOGIES INC.",10% Owner,Class A Common Stock,D,30769.0,0.1218
2024-07-10,PLTR,"MOORE, ALEXANDER D.",Director,Class A Common Stock,D,500.0,28.398
2024-07-10,PLTR,"MOORE, ALEXANDER D.",Director,Class A Common Stock,D,36577.0,27.8053
2024-07-09,PLTR,"PALANTIR, TECHNOLOGIES INC.",10% Owner,Class A Common Stock,D,50000.0,0.1249
2024-07-09,PLTR,"WOERSCHING, ERIC H.",Director,Class A Common Stock,D,3026.0,28.0
2024-07-08,PLTR,"PALANTIR, TECHNOLOGIES INC.",10% Owner,Class A Common Stock,D,87182.0,0.1328
2024-07-05,PLTR,"PALANTIR, TECHNOLOGIES INC.",10% Owner,Class A Common Stock,D,20000.0,0.113
2024-07-03,PLTR,"PALANTIR, TECHNOLOGIES INC.",10% Owner,Class A Common Stock,D,10219.0,0.12
2024-06-30,PLTR,"GLAZER, DAVID A.",See Remarks,Class A Common Stock,A,197395.0,0.0
2024-06-30,PLTR,"TAYLOR, RYAN D.",See Remarks,Class A Common Stock,A,197395.0,0.0
2024-06-18,PLTR,"WOERSCHING, ERIC H.",Director,Class A Common Stock,D,3000.0,26.0
2024-06-17,PLTR,"STAT, LAUREN ELAINA FRIEDMAN",Director,Class A Common Stock,D,2599.0,23.8369
2024-06-17,PLTR,"STAT, LAUREN ELAINA FRIEDMAN",Director,Class A Common Stock,D,3401.0,24.9322
2024-06-17,PLTR,"STAT, LAUREN ELAINA FRIEDMAN",Director,Class A Common Stock,D,1300.0,23.8054
2024-06-17,PLTR,"STAT, LAUREN ELAINA FRIEDMAN",Director,Class A Common Stock,D,1750.0,24.9206
2024-06-13,PLTR,"PALANTIR, TECHNOLOGIES INC.",10% Owner,Class A Common Stock,D,42287.0,0.0715
2024-06-12,PLTR,"PLANISHEK, HEATHER A.",See Remarks,Class A Common Stock,D,27690.0,23.9118
2024-06-12,PLTR,"PALANTIR, TECHNOLOGIES INC.",10% Owner,Class A Common Stock,D,366853.0,0.081
2024-06-12,PLTR,"WOERSCHING, ERIC H.",Director,Class A Common Stock,D,3000.0,24.24
2024-06-11,PLTR,"PALANTIR, TECHNOLOGIES INC.",10% Owner,Class A Common Stock,D,772313.0,0.0561
2024-06-11,PLTR,"TAYLOR, RYAN D.",See Remarks,Class A Common Stock,D,593.0,23.09
2024-06-10,PLTR,"MOORE, ALEXANDER D.",Director,Class A Common Stock,D,20422.0,22.9432
2024-06-07,PLTR,"PALANTIR, TECHNOLOGIES INC.",10% Owner,Class A Common Stock,D,179695.0,0.1649
2024-06-07,PLTR,"WOERSCHING, ERIC H.",Director,Class A Common Stock,D,26000.0,23.3151
2024-06-06,PLTR,"WOERSCHING, ERIC H.",Director,Class A Common Stock,A,12610.0,0.0
2024-06-06,PLTR,"PALANTIR, TECHNOLOGIES INC.",10% Owner,Class A Common Stock,D,67448.0,0.1847
2024-06-06,PLTR,"MOORE, ALEXANDER D.",Director,Class A Common Stock,A,12610.0,0.0
2024-06-06,PLTR,"SCHIFF, ALEXANDRA W.",Director,Class A Common Stock,A,12610.0,0.0
2024-06-06,PLTR,"STAT, LAUREN ELAINA FRIEDMAN",Director,Class A Common Stock,A,12610.0,0.0
2024-06-05,PLTR,"PALANTIR, TECHNOLOGIES INC.",10% Owner,Class A Common Stock,D,51063.0,0.1965
2024-06-04,PLTR,"PALANTIR, TECHNOLOGIES INC.",10% Owner,Class A Common Stock,D,42300.0,0.1996
2024-06-03,PLTR,"PALANTIR, TECHNOLOGIES INC.",10% Owner,Class A Common Stock,D,28192.0,0.2176
2024-05-31,PLTR,"PALANTIR, TECHNOLOGIES INC.",10% Owner,Class A Common Stock,D,70698.0,0.2171
2024-05-23,PLTR,"SANKAR, SHYAM",See Remarks,Class B Common Stock,D,50000.0,0.0
2024-05-23,PLTR,"SANKAR, SHYAM",See Remarks,Class A Common Stock,A,50000.0,
2024-05-23,PLTR,"SANKAR, SHYAM",See Remarks,Class A Common Stock,D,50000.0,20.8855
2024-05-22,PLTR,"KARP, ALEXANDER C.","Director, See Remarks",Class B Common Stock,D,43417.0,0.0
2024-05-22,PLTR,"KARP, ALEXANDER C.","Director, See Remarks",Class A Common Stock,A,43417.0,
